DimAccountID,ACCOUNT,LONG_NAME,ACCOUNTSOURCENAME,IsPrimaryAccount,Source,NAVColumnName,ShowAccount
8876,UTBF29140002,ITF DTAA DM EQ PASS,,TRUE,HistoricalLoad,NAV,1
8816,UTBF29130002,ITF TAA US SWAPS,,TRUE,HistoricalLoad,NAV,1
8756,UTBF29120002,ITF TAA NONUS DEV FX,,TRUE,HistoricalLoad,NAV,1
8696,UTBF29110002,ITF US VALUE PASSIVE,,TRUE,HistoricalLoad,NAV,1
8636,UTBF29100002,ITF MSCI US SWAPS,,TRUE,HistoricalLoad,NAV,1
8576,UTBF29080002,ITF TAA EQUITY POS,,TRUE,HistoricalLoad,NAV,1
8516,UTBF29070002,ITF TAA US Equity,,TRUE,HistoricalLoad,NAV,1
8456,UTBF29060002,ITF US Swaps,,TRUE,HistoricalLoad,NAV,1
8396,UTBF29050002,ITF US Levered EXP,,TRUE,HistoricalLoad,NAV,1
8336,UTBF29050002,ITF US Exposure Swaps,,TRUE,HistoricalLoad,NAV,1
8216,UTBF29030002,ITF TAA IG FI,,TRUE,HistoricalLoad,NAV,1
8156,UTBF29020002,ITF TAA Commodity Futures,,TRUE,HistoricalLoad,NAV,1
8096,UTBF29010002,ITF S&P 500 ETFS,,TRUE,HistoricalLoad,NAV,1
8036,UTBF29000002,ITF EAFE Swaps,,TRUE,HistoricalLoad,NAV,1
7976,UTBF29000002,ITF EAFE Exposure Swaps,,TRUE,HistoricalLoad,NAV,1
7496,UTBF27070002,ITF JANCHOR OPP I,,TRUE,HistoricalLoad,NAV,1
7376,UTBF27030002,ITF ACADIAN EM SL CP,,TRUE,HistoricalLoad,NAV,1
6776,UTBF26620002,Factor Basket DirHF Universe,,TRUE,HistoricalLoad,NAV,1
6716,UTBF26590002,ITF Arrowstreet World,,TRUE,HistoricalLoad,NAV,1
6656,UTBF26580002,ITF North of South EM,,TRUE,HistoricalLoad,NAV,1
6596,UTBF26570002,ITF WHITEOAK EM EXCH,,TRUE,HistoricalLoad,NAV,1
6536,UTBF26540002,ITF DM EM HG NDEUCHF,,TRUE,HistoricalLoad,NAV,1
6476,UTBF26530002,ITF DM EM HG NDEUSKO,,TRUE,HistoricalLoad,NAV,1
6416,UTBF26520002,ITF DM EM HG NDUEEGF,,TRUE,HistoricalLoad,NAV,1
6356,UTBF26510002,ITF DM EM H NDDUWXUS,,TRUE,HistoricalLoad,NAV,1
6296,UTBF26500002,ITF DM EM HG GDDUUS,,TRUE,HistoricalLoad,NAV,1
6236,UTBF26490002,ITF ACADIAN INTL,,TRUE,HistoricalLoad,NAV,1
6176,UTBF26480002,ITF ACADIAN GLOBAL,,TRUE,HistoricalLoad,NAV,1
6056,UTBF26460002,ITF Voleon 150 50,,TRUE,HistoricalLoad,NAV,1
5996,UTBF26450002,ITF Dockside III,,TRUE,HistoricalLoad,NAV,1
5876,UTBF26400002,ITF Freestone Grove,,TRUE,HistoricalLoad,NAV,1
5816,UTBF26360002,ITF UTSA STUDENT,,TRUE,HistoricalLoad,NAV,1
5756,UTBF26350002,ITF UT DALLAS STDNT,,TRUE,HistoricalLoad,NAV,1
5696,UTBF26340002,ITF Dockside EQ,,TRUE,HistoricalLoad,NAV,1
5396,UTBF26230002,ITF CARRHAE LONG,,TRUE,HistoricalLoad,NAV,1
5336,UTBF26220002,ITF INDUS JAP 120 20,,TRUE,HistoricalLoad,NAV,1
5276,UTBF26210002,ITF PERSEVERANCE CT,,TRUE,HistoricalLoad,NAV,1
5216,UTBF26200002,ITF Perseverance CALO,,TRUE,HistoricalLoad,NAV,1
4916,UTBF26090002,ITF JL 150 50 CORE,,TRUE,HistoricalLoad,NAV,1
4796,UTBF26050002,ITF APERIO WORLD,,TRUE,HistoricalLoad,NAV,1
4736,UTBF26020002,ITF VITURA REIT,,TRUE,HistoricalLoad,NAV,1
4676,UTBF25780002,ITF Internal Factor Basket,,TRUE,HistoricalLoad,NAV,1
4616,UTBF25730002,ITF PIMCO GL BND,,TRUE,HistoricalLoad,NAV,1
4556,UTBF25550002,ITF TWO SIGMA CHINA,,TRUE,HistoricalLoad,NAV,1
4496,UTBF25520002,ITF Tot Inflation Linked Bonds,,TRUE,HistoricalLoad,NAV,1
