DimInvestmentID,Investment Regime,Asset Class,Sub Asset Class,SubAssetClassNew,AssetClassNew,Original_AssetClass,Original_SubAssetClass,SortOrder_Regime,SortOrder_AssetClass,SortOrder_SubAssetClass,IsAssetClass Total,IsConsolidation Account,IsRegime Total,IsSubassetClass Total,Name,IsAssetClassTotal,IsConsolidationAccount,InvestmentManagerID,IsRegimeTotal,IsSubassetClass_Total
9088,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Dockside I US-PA,0,0,Walleye Capital LLC,0,0
8771,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Farallon CIP VI DM-PA,0,0,Farallon,0,0
8378,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Burford Alternative Income DM-PA,0,0,Burford Capital LLC,0,0
8288,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Marshall Wace Systematic Alpha DM-PA,0,0,Marshall Wace,0,0
8205,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Weiss Brookdale International US-PA,0,0,Weiss Asset Management,0,0
8121,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,DE Shaw Alkali IV US-PA,0,0,DE Shaw,0,0
8054,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Ilex Onshore US-PA,0,0,ILEX Capital Partners,0,0
7928,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Farallon CIP VI US-PA,0,0,Farallon,0,0
7545,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Holocene Offshore DM-PA,0,0,Holocene,0,0
5400,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Silver Point Specialty Credit II US-PA,0,0,Silver Point,0,0
5340,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Pillar TX US-PA,0,0,Pillar Capital,0,0
