DimInvestmentID,DimAccountID,InvestmentManagerID,Name,AssetClass,SubAssetClass,InvestmentRegime,IsPrimaryAccount,AsOfDate,NAV,Twr1Month,Twr3Month,Twr1Year,Twr3Year,Twr5Year,Twr10Year,TwrFytd,TwrYtd,TwrSince98,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,DimPortfolioID,BenchmarkDimAccountID,Account,DimBenchmarkID,BenchmarkName,Twr6Month,Twr2Year,Twr4Year,Twr7Year
3766,7492,UTIMCO,MSCI EM - Levered Swaps for EM-PA,Emerging Markets Public Equity,Hedge Fund Overlay,Global Equity,TRUE,30-09-2022 00:00:00,,-0.117232,-0.115724,-0.281141,-0.020667,-0.018069,0.010479,-0.117232,-0.271588,,9.0232,,64720020027,57346595506,12,89951,IX1F00274888,3510,MSCI EM,-0.216972,-0.078197,-0.020541,0.038819
18848,12120,Cantillon Capital,Cantillon,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.095729,-0.068197,-0.206595,0.037468,0.04442,0.072812,-0.095729,-0.256251,,5.0311,,571573000000,514897000000,12,80172,IX1F00285998,3594,Cantillon Custom Benchmark,-0.214122,0.005524,0.031498,0.074232
18848,10491,Cantillon Capital,Cantillon,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.095729,-0.068197,-0.206595,0.037468,0.04442,0.072812,-0.095729,-0.256251,,5.0311,,571573000000,514897000000,12,80172,IX1F00285998,3594,Cantillon Custom Benchmark,-0.214122,0.005524,0.031498,0.074232
4124,13672,UTIMCO,Total Non-U.S. Developed Public Equity,Developed Markets Public Equity,Non-U.S. Developed Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092569,-0.091952,-0.23911,-0.012119,-0.003946,0.036244,-0.092569,-0.2623,,7.1143,,153420000000,138437000000,12,87547,IX1F00100188,3330,MSCI EAFE and Canada,-0.225032,-0.018925,-0.011461,0.032087
27605,1012,DE Shaw,DE Shaw AE - Combined Returns,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,4434,DE Shaw AE Composite Custom,-0.208764,0.034767,0.065789,0.106987
27605,81215,DE Shaw,DE Shaw AE - Combined Returns,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,-0.093116,-0.250752,,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,4434,DE Shaw AE Composite Custom,-0.208764,0.034767,0.065789,0.106987
7193,81095,Eminence,Eminence US,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,,-0.250752,,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,163,Eminence US Custom BM,-0.208764,0.034767,0.065789,0.106987
7193,115817,Eminence,Eminence US,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,,-0.250752,,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,163,Eminence US Custom BM,-0.208764,0.034767,0.065789,0.106987
11138,83135,Cooke & Bieler,Cooke & Bieler CV,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.088554,-0.055567,-0.117851,0.043746,0.051128,0.090803,-0.088554,-0.179724,,11.3959,,177660000000,175689000000,12,81486,IX1F00061088,2584,Russell 3000 Value,-0.172731,0.097906,0.040536,0.081021
11138,90078,Cooke & Bieler,Cooke & Bieler CV,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.088554,-0.055567,-0.117851,0.043746,0.051128,0.090803,-0.088554,-0.179724,,11.3959,,177660000000,175689000000,12,81486,IX1F00061088,2584,Russell 3000 Value,-0.172731,0.097906,0.040536,0.081021
4153,75995,ValueAct Capital,ValueAct,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,,-0.250752,,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,26,50% MSCI US/50% MSCI US Midcap Value,-0.208764,0.034767,0.065789,0.106987
4153,11151,ValueAct Capital,ValueAct,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.093116,-0.048139,-0.176032,0.076188,0.086266,0.110189,,-0.250752,,9.7246,,353432000000,319114000000,12,78606,IX1F00053058,26,50% MSCI US/50% MSCI US Midcap Value,-0.208764,0.034767,0.065789,0.106987
5925,81335,Janchor,Janchor Opp II,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.087494,-0.067978,-0.168403,0.028315,0.022972,0.074176,,-0.160281,,4.5121,,99999375254,87874110466,12,79572,IX1F00285408,1650,Janchor Opp Custom BM,-0.125408,-0.000387,0.01202,0.055016
5925,97218,Janchor,Janchor Opp II,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.087494,-0.067978,-0.168403,0.028315,0.022972,0.074176,,-0.160281,,4.5121,,99999375254,87874110466,12,79572,IX1F00285408,1650,Janchor Opp Custom BM,-0.125408,-0.000387,0.01202,0.055016
