FactReturnsID,DimAccountID,SHORT_NAME,SUBGROUP,SEGMENT,CATEGORY,SECTOR,LEVEL4,SECASE_NAME,PRELNK_AS_OF_DATE,MONTH,QUARTER,SIX_MONTH,FISCAL_YTD,YTD,YEAR_1,YEAR_2,YEAR_3,YEAR_4,YEAR_5,YEAR_7,YEAR_10,YEAR_15,YEAR_20,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,NAV,Source,Created_Date,Updated_Date,Execution_ID,Created_By,Updated_By,FinalNAV,CustodianMarketValue
1087808,81070,MSCI EMU SmCp Pr Idx,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-9.5638,-9.76,-22.9399,,-28.0404,-26.1106,0.4602,-0.6028,-1.2479,-1.2841,3.1259,7.3417,1.9591,6.7608,3.3055,,4569504297,3996892078,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1062477,80348,MSCI Pacific Grwth,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-7.2443,-2.564,-10.9233,,-18.223,-17.7633,-0.1064,3.5445,2.1496,4.7018,6.8342,10.0542,2.1185,5.2771,4.5904,,24550042164,21665082623,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1058997,79868,MSCI Nrd Ctys Gr Idx,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-7.9482,-4.1762,-14.1425,,-22.3088,-15.4431,3.5548,10.7073,10.1861,9.2563,8.8765,10.6042,5.8853,10.3174,12.6397,,6955790125,6112807429,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
921350,78606,MSCI United States Net,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-9.3116,-4.8139,-20.8764,,-25.0752,-17.6032,3.4767,7.6188,6.5789,8.6266,10.6987,11.0189,7.4079,9.2745,9.7246,,353432000000,319114000000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
919790,78366,S&P Pan Arab Nt,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-6.7462,-0.4625,-13.1122,,-0.0793,1.2518,18.6682,11.8544,10.3437,10.5836,8.266,7.3636,,,7.1464,,7436902914,7400362135,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1088523,14861,BB Gbl Infl Linked USTIPS,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-6.618,-5.1441,-10.9157,,-13.6087,-11.568,-3.5529,0.794,2.3409,1.9513,2.2109,0.9808,3.2469,3.7703,4.7577,,11916070000,11266750000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1079287,14083,BB Eur-Agg Corp AAA,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-4.1989,-4.1445,-11.6874,,-16.5691,-17.4295,-9.9973,-6.361,-3.0025,-2.293,-0.6548,0.8432,2.584,2.8107,3.0894,,67970000,65120000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1078567,13183,BB Eur-Agg Corp 5-7Y,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-3.9439,-3.7331,-11.8199,,-17.0775,-17.7749,-8.3171,-5.5183,-2.494,-1.9938,-0.1563,1.3014,2.9291,3.3018,3.517,,4458270000,4317850000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
875260,9456,BB Utility Corporate,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-6.1975,-5.9561,-13.9646,,-21.5346,-21.2938,-11.1901,-4.8482,-0.3267,-0.6903,1.0308,1.4628,4.1739,4.4576,7.022,,5101910000,4786210000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1102265,8022,BB High Yield Int Ba,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-3.3777,-0.6356,-8.4788,,-13.2896,-12.7409,-2.6972,-0.1842,2.0616,1.8341,3.8166,3.8249,5.6448,6.5618,8.1419,,6215440000,5959460000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1101065,6822,BB Corp AA Long,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-8.9721,-8.8701,-20.1876,,-29.3041,-28.0017,-15.4501,-7.693,-1.0543,-1.2905,1.3432,1.3812,4.6126,4.7263,7.4138,,1912940000,1744950000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
856781,6337,BB Municipal 20 Yr,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-4.8054,-4.3797,-8.8726,,-15.4419,-14.427,-5.6674,-2.5092,0.6103,0.6941,1.6538,2.2241,3.7297,4.0434,6.6004,,1846910000,1758040000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
