MarketValue,Account,AsOfDate
166686692,SIF100000,30-09-2022 00:00:00
3580663513,UGEGX0903112,30-09-2022 00:00:00
199219076,SIF100000,31-12-2022 00:00:00
3927362477,UGEGX0903112,31-12-2022 00:00:00
260130107,SIF100000,31-01-2023 00:00:00
4353540986,UGEGX0903112,31-01-2023 00:00:00
268563316.4,SIF100000,31-12-2025 00:00:00
196170540.6,SIF100000,31-12-2023 00:00:00
228795058.9,SIF100000,31-12-2024 00:00:00
456408818.3,SIF100000,30-11-2025 00:00:00
248516337.1,SIF100000,30-11-2023 00:00:00
319541653.4,SIF100000,30-11-2024 00:00:00
258617914,SIF100000,31-10-2025 00:00:00
194189342.5,SIF100000,31-10-2023 00:00:00
239012618.2,SIF100000,31-10-2024 00:00:00
222693909.2,SIF100000,30-09-2025 00:00:00
179363589,SIF100000,30-09-2023 00:00:00
194406903.2,SIF100000,30-09-2024 00:00:00
334847044.3,SIF100000,31-08-2025 00:00:00
274877822.2,SIF100000,31-08-2023 00:00:00
332468047.6,SIF100000,31-08-2024 00:00:00
235125203.7,SIF100000,31-07-2025 00:00:00
186545959,SIF100000,31-07-2023 00:00:00
261164901.2,SIF100000,31-07-2024 00:00:00
191904528.9,SIF100000,30-06-2025 00:00:00
169404792.1,SIF100000,30-06-2023 00:00:00
177010182.4,SIF100000,30-06-2024 00:00:00
297461887.8,SIF100000,31-05-2025 00:00:00
264068419.3,SIF100000,31-05-2023 00:00:00
271534232.3,SIF100000,31-05-2024 00:00:00
220500681.8,SIF100000,30-04-2025 00:00:00
186647135,SIF100000,30-04-2023 00:00:00
199219076,SIF100000,31-12-2022 00:00:00
193837654.3,SIF100000,30-04-2024 00:00:00
204099055.7,SIF100000,31-03-2025 00:00:00
171000257.1,SIF100000,31-03-2023 00:00:00
316630916.1,SIF100000,30-11-2022 00:00:00
171038184.3,SIF100000,31-03-2024 00:00:00
373226958.5,SIF100000,28-02-2025 00:00:00
321486470.4,SIF100000,28-02-2023 00:00:00
181416040.8,SIF100000,31-10-2022 00:00:00
302406956.8,SIF100000,29-02-2024 00:00:00
408009226.3,SIF100000,28-02-2026 00:00:00
284105590.2,SIF100000,31-01-2025 00:00:00
260130107,SIF100000,31-01-2023 00:00:00
166686692,SIF100000,30-09-2022 00:00:00
244553083.2,SIF100000,31-01-2024 00:00:00
305694200.5,SIF100000,31-01-2026 00:00:00
